headline,date,textblob_score,vader_score,average_score,sentiment_category
"

                                QuidMiner: Smart cloud mining app for XRP, DOGE, and more in 2025                            
",27/06/2025,0.35714285714285715,0.4019,0.37952142857142857,Slightly Bullish
"

                                XRP set for breakout with 50m added by whales, analysts claim                            
",27/06/2025,0.0,0.0,0.0,Neutral
"

                                ETHRANSACTION platform creates a layer of income for XRP holders                            
",27/06/2025,0.0,0.2732,0.1366,Neutral
"

                                Why is crypto down today : SOL, XRP and memecoins plummet amidst Bitcoin dominance rise                            
",27/06/2025,-0.15555555555555556,0.2023,0.023372222222222225,Neutral
"

                                Judge rejects SEC, Ripple motion on XRP sales and $125m penalty                            
",26/06/2025,-0.1,-0.7351,-0.41755,Slightly Bearish
"

                                Ripple integrates Wormhole to connect XRP Ledger to 35+ blockchains                            
",26/06/2025,0.0,0.0,0.0,Neutral
"

                                Can XRP hit $5 by year-end as memecoins race for 100x?                            
",26/06/2025,0.0,0.0,0.0,Neutral
"

                                XRP rallies off $1.92 low but weak volume puts this support level at risk                            
",25/06/2025,-0.1875,-0.4334,-0.31045,Slightly Bearish
"

                                How XRP holders are earning passive income through RichMiner cloud mining                            
",25/06/2025,0.0,0.2023,0.10115,Neutral
"

                                SOL, XRP rally; BAY Miner offers smart cloud mining for monthly passive income                            
",25/06/2025,0.15714285714285714,0.5423,0.34972142857142857,Slightly Bullish
"

                                XRP CME futures volume hit $542M a month after launch — a signal for the next XRP bull run?                            
",25/06/2025,0.0,0.0,0.0,Neutral
"

                                ADA vs. XRP’s epic rally; Why this crypto presale contender steals the spotlight                            
",24/06/2025,0.1,-0.4215,-0.16075,Neutral
"

                                How to earn Bitcoin in 2025 with XRP Mining’s cloud mining platform                            
",23/06/2025,0.0,0.0,0.0,Neutral
"

                                Here’s why the XRP price may crash below $1 soon                            
",23/06/2025,0.0,-0.4019,-0.20095,Slightly Bearish
"

                                XRP revives bullish faith, Neo Pepe Coin’s massive presale shakes up market                            
",23/06/2025,0.0,0.6597,0.32985,Slightly Bullish
"

                                HASHJ cloud mining opens new frontier with support for BTC, ETH, DOGE, XRP, SOL, USDT                            
",21/06/2025,0.13636363636363635,0.4019,0.2691318181818182,Slightly Bullish
"

                                XRP’s safe, for now; Ripple lawyer dismisses government seizure claims                            
",21/06/2025,0.5,0.4404,0.4702,Bearish
"

                                Odds of SOL, LTC, XRP ETF approval stand at 95%: analysts                            
",20/06/2025,0.0,0.4767,0.23835,Slightly Bullish
"

                                Can XRP hit $10 in 2025? Analysts point to potential breakout                            
",20/06/2025,0.0,0.0,0.0,Neutral
"

                                Ripple and XRP shock traders with whale demand, what’s next                            
",20/06/2025,0.0,-0.4767,-0.23835,Slightly Bearish
"

                                This coin under $0.002 gains attention as a potential alternative to XRP in next bull run                            
",19/06/2025,0.0,0.34,0.17,Neutral
"

                                Cardano, XRP, Solana tumble as Neo Pepe Coin aims to extend major gains this week                            
",19/06/2025,0.0625,0.5256,0.29405,Slightly Bullish
"

                                XRP price remains near $2.09 support: bounce or breakdown next?                            
",19/06/2025,0.05,0.4019,0.22594999999999998,Slightly Bullish
"

                                XRP readies to reclaim $3.92 but these 2 tokens gain investor attention                            
",18/06/2025,0.0,0.6808,0.3404,Slightly Bullish
"

                                XRP could be gearing up for a major rally despite weak ETF reaction                            
",18/06/2025,-0.15625,0.3959,0.11982499999999999,Neutral
"

                                XRP, SOL ETFs face SEC delay, but approval hopes remain                            
",18/06/2025,-0.1,0.802,0.35100000000000003,Slightly Bullish
"

                                Analyst predicts XRP holders will soon ‘print’ as 2025 breakout looms                            
",18/06/2025,0.0,-0.1531,-0.07655,Neutral
"

                                This might be a bad time to buy XRP, Dogecoin, but these 3 coins look strong                            
",17/06/2025,-0.13333333333333325,0.4939,0.18028333333333338,Neutral
"

                                Ripple’s legal moves could push XRP to 10x gains: Can it beat memecoins?                            
",17/06/2025,0.2,0.4404,0.32020000000000004,Slightly Bullish
"

                                XRP Ledger activity rises alongside whale accumulation — will XRP price follow?                            
",17/06/2025,0.0,0.0,0.0,Neutral
"

                                Purpose Investments receives regulatory nod to launch spot XRP ETF                            
",16/06/2025,0.0,0.0,0.0,Neutral
"

                                XRP’s 2025 outlook: Potential peaks, exit timing, and an emerging challenger                            
",16/06/2025,0.0,0.128,0.064,Neutral
"

                                XRP retraces but Nexchain crypto presale is leading the charge with $4.3m raise                            
",16/06/2025,0.0,0.0,0.0,Neutral
"

                                Chart of the week: XRP rally to $7 likely with Ripple’s bullish announcements?                            
",15/06/2025,0.0,0.0,0.0,Neutral
"

                                Top cryptocurrencies to watch this week: XRP, Solana, Zetachain                            
",15/06/2025,0.5,0.2023,0.35115,Slightly Bullish
"

                                From meme to the moon: Why LILPEPE might outperform XRP this bull cycle                            
",15/06/2025,0.0,0.0,0.0,Neutral
"

                                Bow Miner cloud mining income revealed: Earn daily returns in XRP, ETH, and BTC                            
",13/06/2025,0.0,0.0,0.0,Neutral
"

                                XRP price nears big move as RLUSD flirts with $500m milestone                            
",13/06/2025,0.0,0.1779,0.08895,Neutral
"

                                Exploring XRP Mining: How the platform operates and what users are saying                            
",13/06/2025,0.0,0.0,0.0,Neutral
"

                                Ripple and U.S. SEC jointly propose $125M settlement split to end XRP lawsuit                            
",13/06/2025,-0.1,-0.2263,-0.16315000000000002,Neutral
"

                                XRP targets $5 but Little Pepe presale steals the spotlight as it raises $200,000 on day 1                            
",13/06/2025,-0.1875,-0.6192,-0.40335,Slightly Bearish
"

                                Circle brings USDC to XRP Ledger in major stablecoin expansion post-IPO                            
",12/06/2025,0.0625,0.0,0.03125,Neutral
"

                                TDTH stock crashes 40% after Trident unveils $500m XRP treasury plan                            
",12/06/2025,0.0,0.2023,0.10115,Neutral
"

                                Flare’s FLR token flashes early breakout signal after XRP-linked partnership                            
",12/06/2025,0.1,0.0,0.05,Neutral
"

                                XRP coils up ahead of key SEC deadline as traders watch for breakout                             
",12/06/2025,-0.05,0.0,-0.025,Neutral
"

                                VivoPower turns XRP into yield-generating asset in Flare tie-up                            
",11/06/2025,0.0,0.3612,0.1806,Neutral
"

                                Can XRP reach $4.70 in 2025? breakout is likely if key support holds                            
",11/06/2025,0.0,0.4215,0.21075,Slightly Bullish
"

                                Ondo Finance launches tokenized U.S. Treasuries on XRP Ledger                            
",11/06/2025,0.0,0.2263,0.11315,Neutral
"

                                Binance debunks reports of XRP withdrawal suspension amid community concerns                            
",11/06/2025,0.0,0.0258,0.0129,Neutral
"

                                Solana, Litecoin, and XRP top ETF approval odds as analysts weigh in                            
",11/06/2025,0.5,0.5994,0.5497000000000001,Bullish
"

                                XRP gains legal clarity; Lightchain AI gains momentum through strategic presale steps                            
",11/06/2025,0.2,0.7906,0.49529999999999996,Bearish
"

                                XRP Ledger tapped by investment giant Guggenheim to expand $280M digital debt offering                            
",11/06/2025,0.0,-0.0516,-0.0258,Neutral
"

                                XRP price stalls as Ripple inks deal with $350b asset manager                            
",10/06/2025,0.0,0.3612,0.1806,Neutral
"

                                Explore how XRP can be used to remotely mine Bitcoin and generate steady income                            
",10/06/2025,0.033333333333333326,0.0,0.016666666666666663,Neutral
"

                                XRP struggles, SUI faces setback; BlockDAG quietly delivers 2,520% gains, teases NBA deal                            
",09/06/2025,0.0,-0.3182,-0.1591,Neutral
"

                                Can XRP price realistically hit $27 as one pundit predicts?                            
",09/06/2025,0.0,0.0,0.0,Neutral
"

                                Nasdaq Crypto Index adds XRP, SOL, ADA, and XLM as SEC reviews Hashdex ETF’s request to align holdings                            
",09/06/2025,-0.1,0.0,-0.05,Neutral
"

                                Ripple to provide grants to Japanese Web3 projects building on the XRP Ledger                            
",09/06/2025,0.0,0.2263,0.11315,Neutral
"

                                XRP shows signs of rebound but declining on-chain activity signals more risk ahead                            
",09/06/2025,0.5,-0.4748,0.0126,Neutral
"

                                Market forecast for June: Pi, XRP, SOL poised for growth, cloud mining heats up                            
",06/06/2025,0.0,0.5574,0.2787,Slightly Bullish
"

                                XRP price prediction in June 2025 – the constant range is close to a breakout above?                             
",06/06/2025,0.0,0.0,0.0,Neutral
"

                                Red alert: XRP price bearish pattern points to a 50% crash                            
",06/06/2025,0.0,-0.128,-0.064,Neutral
"

                                Ripple, XRP could gain from $421 million XRP treasury bets and institutional boost                            
",06/06/2025,0.0,0.7845,0.39225,Slightly Bullish
"

                                XRP drops toward critical $2 resistance — will these short-term catalysts trigger a bounce?                             
",06/06/2025,0.0,-0.3182,-0.1591,Neutral
"

                                XRP holds key support: is a new bullish trend forming?                            
",05/06/2025,0.06818181818181818,0.4019,0.23504090909090908,Slightly Bullish
"

                                XRP hits oversold conditions on exchanges, reversal incoming?                            
",05/06/2025,0.0,0.0,0.0,Neutral
"

                                A classic 95-year-old theory suggests XRP price could surge soon                            
",04/06/2025,0.13333333333333333,0.0,0.06666666666666667,Neutral
"

                                China’s Webus International advances $300M XRP treasury plan with SEC filing                            
",04/06/2025,-0.05,0.2023,0.07615,Neutral
"

                                BTC whales take profits as interest shifts to XRP Mining for passive income                            
",04/06/2025,0.0,0.7717,0.38585,Slightly Bullish
"

                                Coldware smashes past $4m; XRP, SOL whales to eye new utility coin                            
",04/06/2025,-0.05681818181818182,0.0,-0.02840909090909091,Neutral
"

                                XRP holders are earning daily returns with RichMiner instead of waiting on the market                            
",03/06/2025,0.0,0.0,0.0,Neutral
"

                                XRP price rallies after getting Dubai approval for RLUSD stablecoin                            
",03/06/2025,0.0,0.4767,0.23835,Slightly Bullish
"

                                XRP struggles near support as XRP investment products record second week of outflows                            
",03/06/2025,0.05,0.0516,0.0508,Neutral
"

                                PUN rises with war room hype, XRP gains SEC edge, and Ethereum scales up                            
",02/06/2025,-0.1,-0.3612,-0.23060000000000003,Slightly Bearish
"

                                VivoPower to tap into BitGo for $100m XRP buy                            
",02/06/2025,0.0,0.0,0.0,Neutral
"

                                Best XRP rivals to buy for the next crypto bull market                            
",02/06/2025,0.5,0.6369,0.56845,Bullish
"

                                XRP holds key support as Wall Street’s quiet moves suggest imminent reversal                            
",02/06/2025,0.0,0.4019,0.20095,Slightly Bullish
"

                                Top 4 reasons why XRP price may surge 50% in June                            
",01/06/2025,0.5,0.2023,0.35115,Slightly Bullish
"

                                Can XRP fall back to $2.20? Ripple foundation making moves                            
",01/06/2025,0.0,0.0,0.0,Neutral
"

                                Ripple effect: XRP plunge puts whale on brink of $8m liquidation                            
",31/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP price approaching critical support: a technical analysis deep dive                            
",30/05/2025,0.0,0.1027,0.05135,Neutral
"

                                Chart of the week: XRP price trend reversal likely, could lead with double-digit gains                             
",30/05/2025,0.0,0.34,0.17,Neutral
"

                                China’s Webus International eyes $300M raise for XRP strategic reserve                             
",30/05/2025,0.0,0.0,0.0,Neutral
"

                                BTC, XRP, DOGE owners create financial freedom through RichMiner cloud mining                            
",29/05/2025,0.0,0.743,0.3715,Slightly Bullish
"

                                XRP, DOGE holders quietly turned to APT Miner for massive passive income                            
",29/05/2025,0.19999999999999998,0.2023,0.20115,Slightly Bullish
"

                                Explore how XRP, BTC, and DOGE holders can earn with Crypto Mining Firm                            
",29/05/2025,-0.2,0.0,-0.1,Neutral
"

                                XRP trades flat despite VivoPower announcing $121M raise to back XRP-focused treasury                            
",29/05/2025,-0.0125,0.5267,0.2571,Slightly Bullish
"

                                XRP forecast indicates $3.50 next, Unilabs leads Q2 gains                            
",28/05/2025,0.0,0.34,0.17,Neutral
"

                                XRP price nears four-month low as death cross looms against Bitcoin                            
",28/05/2025,0.0,-0.765,-0.3825,Slightly Bearish
"

                                New AI coin enters XRP, ADA whales’ radars as presale crosses $1m                            
",28/05/2025,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                XRP vs. Solana: Which altcoin is the better $100k bet in 2025?                            
",27/05/2025,0.5,0.4404,0.4702,Bearish
"

                                Is XRP a smart investment choice? Ways to boost returns in 2025                            
",27/05/2025,0.21428571428571427,0.6597,0.4369928571428571,Bearish
"

                                Recent trend has XRP holders backing this new AI asset manager                            
",27/05/2025,0.06818181818181818,0.3818,0.22499090909090907,Slightly Bullish
"

                                Here’s why XRP price could blast to $10 in 2025                            
",27/05/2025,0.0,0.0,0.0,Neutral
"

                                Unlocking the XRP wealth code: Richminer mining pool 3-step automated earning model                            
",27/05/2025,0.0,0.4939,0.24695,Slightly Bullish
"

                                XRP sees increased downward pressure as 80-week inflow streak ends                             
",27/05/2025,0.0,-0.0258,-0.0129,Neutral
"

                                XRP price prediction: Bullish reversal pattern hints at explosive move                            
",26/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP clings to key support amid sideways action as investors shift focus to upcoming SEC meeting                            
",26/05/2025,0.0,0.4019,0.20095,Slightly Bullish
"

                                XRP could explode after Bitcoin dominance declines, Unilabs crosses $800k raised                            
",23/05/2025,0.0,0.2023,0.10115,Neutral
"

                                XRP price stalls as Polymarket traders bet it will hit ATH in 2025                            
",23/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP eyes breakout as EURØP and USDB stablecoins launch on XRP Ledger                            
",23/05/2025,0.0,0.0,0.0,Neutral
"

                                New AI-DeFi hits crypto scene; is it a compelling alternative to XRP, Dogecoin?                            
",22/05/2025,0.21818181818181817,0.2263,0.2222409090909091,Slightly Bullish
"

                                Volatility Shares launches first XRP futures ETF on Nasdaq                            
",22/05/2025,0.25,0.296,0.273,Slightly Bullish
"

                                Ripple CEO snubbed by Lummis: XRP FUD Fuels crypto drama                            
",22/05/2025,0.0,-0.6249,-0.31245,Slightly Bearish
"

                                Volatility Shares to launch first U.S.-based 1x XRP futures ETF, XRP price hovers above $2.35 support                            
",22/05/2025,0.125,0.5994,0.3622,Slightly Bullish
"

                                XRP momentum stalls near $2.35 support as SEC delays 21Shares XRP ETF decision                            
",21/05/2025,0.0,0.4019,0.20095,Slightly Bullish
"

                                No hardware, no hassle: RichMiner makes BTC, XRP, DOGE mining easy, and rewarding                            
",20/05/2025,0.4666666666666667,0.7174,0.5920333333333334,Bullish
"

                                XRP price forms bullish pattern as whale accumulation grows                            
",20/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP futures debut on CME as Garlinghouse hails key ‘milestone’                            
",19/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP surges; Influencers turn to RichMiner for daily passive income                            
",19/05/2025,0.0,0.2023,0.10115,Neutral
"

                                XRP sideways structure holds as traders eye May 19 CME futures launch as next catalyst                            
",19/05/2025,0.0,0.0,0.0,Neutral
"

                                Top cryptocurrencies to watch this week: Trump Coin, XRP, Zetachain                            
",18/05/2025,0.5,0.2023,0.35115,Slightly Bullish
"

                                New DeFi platform set to challenge XRP with $30 million AUM                            
",18/05/2025,0.13636363636363635,0.0772,0.10678181818181817,Neutral
"

                                New XRP ETF hits an inflow record as XRP price wavers                            
",17/05/2025,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                XRP dips as U.S. court rejects Ripple-SEC settlement bid over procedural misstep                            
",16/05/2025,-0.1,-0.4939,-0.29695,Slightly Bearish
"

                                Why is crypto down today? 3 coins to avoid market downturn XRP, DOGE and TRON                            
",15/05/2025,-0.15555555555555556,-0.296,-0.22577777777777777,Slightly Bearish
"

                                XRP takes real step into DeFi with Flare’s FAssets upgrade                            
",14/05/2025,0.2,0.0,0.1,Neutral
"

                                XRP price prediction 2025: hidden channel points to $4.50 rally                            
",14/05/2025,-0.16666666666666666,0.0,-0.08333333333333333,Neutral
"

                                XRP breaks out of wedge pattern but experts back another PayFi token for 400% gains                            
",14/05/2025,0.0,0.4767,0.23835,Slightly Bullish
"

                                XRP open interest surges over $1B in a week as price eyes major breakout                             
",14/05/2025,0.03125,0.4588,0.245025,Slightly Bullish
"

                                How XRP is leveraging RICH MINER cloud mining for financial growth                            
",13/05/2025,0.1875,0.7351,0.4613,Bearish
"

                                XRP price eyes a 35% surge as Ripple ETF nears $100M milestone                            
",13/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP to explode as SEC settlement reached; This cheap payment token is set to follow                            
",13/05/2025,0.15000000000000002,0.1027,0.12635000000000002,Neutral
"

                                XRP hits two-month highs as breakout momentum points to $3 target                            
",13/05/2025,0.0,0.0,0.0,Neutral
"

                                XRP news: token surpasses USDT in market cap, eyes $3 as altseason brews                            
",12/05/2025,0.0,0.0,0.0,Neutral
